0,1,2,3,4,5,6,7,8,9,10,Timestamp,Cumulative_Time
-2.34765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:55.382812500,-184.6171875
-2.328125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:53.054687500,-186.9453125
-2.28515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:50.769531250,-189.23046875
-2.265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:48.503906250,-191.49609375
-2.22265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:46.281250000,-193.71875
-2.203125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:44.078125000,-195.921875
-2.16015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:41.917968750,-198.08203125
-2.140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:39.777343750,-200.22265625
-2.09765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:37.679687500,-202.3203125
-2.078125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:35.601562500,-204.3984375
-2.03515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:33.566406250,-206.43359375
-2.015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:31.550781250,-208.44921875
-1.59765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:29.953125000,-210.046875
-1.578125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:28.375000000,-211.625
-1.53515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:26.839843750,-213.16015625
-1.515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:25.324218750,-214.67578125
-1.47265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:23.851562500,-216.1484375
-1.453125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:22.398437500,-217.6015625
-1.41015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:20.988281250,-219.01171875
-1.390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:19.597656250,-220.40234375
-1.34765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:18.250000000,-221.75
-1.328125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:16.921875000,-223.078125
-1.28515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:15.636718750,-224.36328125
-1.265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:14.371093750,-225.62890625
-1.22265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:13.148437500,-226.8515625
-1.203125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:11.945312500,-228.0546875
-1.16015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:10.785156250,-229.21484375
-1.140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:09.644531250,-230.35546875
-1.09765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:08.546875000,-231.453125
-1.078125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:07.468750000,-232.53125
-1.03515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:06.433593750,-233.56640625
